neighbourhood_group,room_type,price,minimum_nights,number_of_reviews,availability_365
1,1,120,1,206,278
0,0,75,2,42,0
0,1,110,2,50,0
1,1,177,2,123,261
1,0,180,1,10,175
2,0,70,1,1,364
1,1,325,2,9,0
1,0,165,1,193,213
0,0,75,1,2,0
1,0,159,1,0,365
1,1,150,6,1,0
1,1,150,1,0,0
1,1,230,30,0,363
1,0,159,1,1,365
0,1,250,28,4,0
0,1,119,1,7,0
1,1,239,30,0,363
0,1,80,1,17,0
1,0,99,1,0,0
1,1,250,5,12,20
0,1,125,3,93,23
0,1,150,5,30,284
0,0,50,3,71,2
1,1,200,4,0,0
4,0,47,2,138,353
0,1,150,4,1,0
1,1,299,1,177,91
1,1,142,20,0,0
0,1,150,1,0,0
2,0,88,2,132,14
1,0,800,5,0,0
0,1,85,90,0,0
1,0,169,1,9,89
0,1,110,2,104,155
0,0,60,1,1,0
0,1,110,2,122,159
1,1,78,5,2,0
0,1,110,1,0,0
0,0,46,1,0,0
2,0,80,1,2,0
1,1,150,3,12,1
1,1,199,2,1,0
1,1,125,2,15,0
1,1,650,3,130,235
2,0,58,6,76,279
1,1,200,1,2,0
1,1,145,21,0,0
0,1,98,14,9,6
0,0,40,7,23,130
1,0,135,2,123,124
1,1,250,5,0,0
1,1,250,13,9,44
0,1,130,2,4,0
0,0,60,2,54,0
1,1,350,3,0,0
1,1,465,3,46,325
1,1,126,1,3,0
1,1,215,1,0,0
1,1,139,3,18,0
1,1,200,1,9,0
1,1,200,6,0,0
1,1,40,1,1,0
0,0,55,1,0,0
0,1,99,30,7,0
0,0,82,3,0,0
0,1,185,2,3,0
1,0,60,7,6,0
1,1,200,7,0,0
1,1,140,1,0,0
0,1,94,30,3,355
0,1,134,2,2,0
0,0,60,1,0,0
1,0,70,3,6,233
1,1,200,1,1,0
1,0,90,2,66,0
0,1,115,1,1,0
1,1,245,10,6,0
1,1,375,1,110,134
0,1,75,2,161,183
1,0,150,2,2,0
4,1,159,1,0,0
0,0,40,15,0,342
0,0,57,1,10,0
1,1,425,5,1,0
1,1,200,1,0,0
1,0,65,1,11,0
0,0,65,15,1,0
0,0,75,14,3,0
1,0,90,1,0,0
1,0,100,1,0,0
1,1,100,1,8,0
2,0,77,2,1,364
0,1,165,4,10,0
1,1,190,4,1,0
1,1,190,2,119,78
0,0,45,3,7,0
0,1,72,30,11,251
1,1,230,3,52,325
1,1,250,5,33,28
1,1,140,4,1,223
0,1,85,5,0,0
1,1,99,30,0,0
1,1,200,3,0,0
0,0,99,2,3,0
0,1,140,7,31,209
0,1,181,4,4,188
0,1,165,2,166,8
1,1,175,3,14,51
0,1,100,6,1,0
0,1,209,1,178,228
1,0,110,1,1,0
0,0,50,7,4,0
1,1,80,2,3,0
4,0,75,1,59,354
1,1,70,7,1,0
1,1,125,1,1,0
2,1,70,1,1,0
2,0,180,1,0,0
0,0,100,2,7,310
0,1,200,8,2,0
1,1,100,30,3,0
1,0,95,3,0,0
1,1,150,5,0,0
2,1,144,2,13,288
0,0,42,3,0,0
1,0,95,1,13,0
1,1,220,2,3,0
1,0,209,3,7,317
0,0,118,3,5,0
0,0,50,5,28,0
0,0,95,1,0,0
1,0,85,1,1,0
1,1,200,5,5,0
0,1,161,2,21,2
0,1,110,2,24,0
1,1,149,1,0,0
1,1,104,30,5,156
0,1,200,1,1,0
0,0,99,1,5,0
0,1,80,5,12,0
1,1,400,1,3,0
0,1,98,4,3,0
0,0,63,2,2,0
0,0,69,2,75,249
2,1,89,1,16,36
2,1,99,4,4,0
1,1,140,4,2,0
0,1,150,4,76,274
0,1,199,2,6,73
1,1,120,20,0,0
1,1,175,1,0,0
1,1,300,3,25,0
0,0,40,1,3,0
0,0,100,2,22,0
0,1,170,2,127,236
1,1,120,8,6,0
0,0,60,1,145,313
1,1,90,7,7,269
1,0,60,5,1,0
1,1,450,1,0,0
1,0,75,1,0,0
1,1,170,3,11,0
0,0,75,2,0,0
1,0,75,1,0,1
0,0,80,2,0,0
0,1,139,3,10,0
1,1,250,2,10,0
1,1,150,1,1,0
0,0,90,3,6,0
1,0,55,4,14,8
1,1,296,2,24,0
1,1,150,2,9,89
4,1,139,3,30,357
1,0,249,4,0,0
1,1,250,5,0,0
1,1,205,3,2,0
0,1,90,2,2,0
0,2,25,30,5,365
2,1,65,30,32,67
1,1,250,2,1,0
0,1,140,29,12,339
1,1,110,3,4,0
1,1,200,2,0,0
1,1,120,5,79,307
0,1,120,4,0,0
1,0,110,2,2,188
2,1,200,30,68,365
0,0,60,2,1,0
1,1,205,2,1,0
0,0,50,7,4,0
1,1,183,1,1,0
0,1,125,1,0,0
0,0,70,2,47,54
0,1,90,14,7,0
0,1,375,1,23,364
0,0,50,3,6,10
1,0,199,1,49,230
1,0,130,1,0,0
1,1,285,31,5,365
0,0,72,4,100,113
0,0,36,15,14,15
0,0,84,2,48,263
1,0,100,1,1,0
0,0,130,2,16,262
1,1,285,4,1,0
1,1,175,4,0,0
1,1,465,3,74,62
1,1,175,3,6,0
0,1,165,5,201,212
1,1,156,30,1,252
1,1,191,30,0,341
0,1,160,14,1,0
1,1,305,1,0,0
1,1,200,1,52,74
0,1,260,3,4,0
1,0,105,5,0,0
0,0,85,1,0,0
1,1,100,3,2,0
0,0,79,4,0,0
1,0,120,5,125,177
1,1,300,3,0,0
4,0,65,3,2,356
1,0,100,2,151,0
0,1,127,1,7,0
2,0,49,2,21,311
1,0,108,1,11,0
1,1,121,30,0,0
1,1,180,1,1,0
0,0,34,5,34,7
1,1,180,4,0,0
1,1,250,53,2,365
0,1,100,5,3,78
1,1,175,30,0,265
1,1,175,30,7,280
1,1,190,4,10,0
0,1,90,7,6,0
1,1,160,2,143,215
1,0,51,1,1,0
1,1,150,1,1,0
0,1,325,3,16,103
0,1,99,3,9,42
1,0,150,1,0,0
0,1,280,1,13,363
1,1,110,2,166,229
0,0,100,5,0,0
0,1,125,2,127,126
1,1,275,4,18,85
0,1,308,2,22,109
0,1,200,4,3,0
1,0,60,2,136,48
1,0,65,1,2,0
1,1,110,1,0,0
4,1,189,1,8,354
1,0,60,2,1,0
1,0,90,5,0,0
0,0,65,3,1,0
0,1,128,2,37,0
0,1,200,2,19,0
0,1,120,14,0,0
0,0,75,3,67,296
1,1,69,1,1,0
1,1,120,5,3,0
1,0,95,1,1,0
0,1,142,2,18,0
1,1,210,1,0,365
2,0,155,2,14,90
1,1,300,2,3,0
0,0,70,3,46,92
1,1,180,1,156,22
1,0,70,1,17,0
1,0,95,1,1,0
0,1,100,3,83,224
0,1,129,5,89,72
1,0,62,30,0,174
1,0,40,1,2,0
0,0,90,2,3,6
0,0,42,1,1,0
0,1,125,7,0,0
0,1,100,4,0,0
1,1,70,30,1,365
0,1,108,2,4,0
2,1,500,2,20,243
1,0,115,1,0,0
1,1,275,1,4,0
0,0,40,1,0,0
0,1,289,3,128,92
0,0,130,5,102,288
1,0,55,3,125,1
1,1,125,2,0,0
1,1,130,4,94,27
0,0,60,2,62,107
0,1,99,1,140,363
0,0,50,5,12,0
1,0,78,25,0,0
1,1,150,1,1,0
1,0,90,2,62,320
0,1,275,5,77,6
1,1,70,30,3,339
0,0,39,3,0,0
1,1,185,3,177,216
1,0,49,2,0,0
0,0,69,1,30,0
0,1,330,2,84,327
1,1,110,5,0,7
1,1,450,1,0,0
1,0,150,2,2,0
1,1,80,30,10,357
1,1,80,30,5,365
1,1,310,3,117,57
1,1,70,30,5,341
1,1,325,1,2,0
2,0,65,3,13,167
0,1,155,4,128,0
0,0,45,1,2,0
1,1,125,4,148,129
0,0,49,2,213,30
1,0,150,1,0,0
0,0,80,2,4,0
1,1,145,1,152,200
2,1,125,2,38,330
2,0,60,1,95,80
0,0,50,3,70,25
4,0,70,7,0,0
0,1,531,1,119,353
1,1,199,1,81,318
1,1,214,3,151,219
1,1,70,3,0,0
0,1,105,4,1,0
1,1,240,2,64,262
2,1,114,4,74,350
1,0,45,1,1,0
1,0,45,1,0,0
0,1,143,1,0,0
0,1,145,10,18,157
1,0,90,1,0,0
0,0,75,3,14,352
1,0,225,3,49,322
1,1,150,2,51,0
0,1,150,1,1,0
1,1,182,20,6,32
1,0,62,20,0,0
0,0,65,6,3,0
1,1,175,1,15,0
0,1,525,4,11,159
1,0,98,1,1,0
1,0,61,3,21,16
1,1,159,30,21,141
2,0,68,1,0,0
0,1,69,10,11,226
1,0,125,5,0,0
0,1,115,4,132,71
1,0,85,14,99,21
1,1,209,1,116,168
1,1,225,1,1,0
1,1,100,4,1,0
0,0,55,1,1,0
0,0,80,2,11,0
0,0,80,1,1,0
0,1,85,30,9,216
1,1,280,4,0,0
0,1,125,2,180,116
0,0,90,1,0,0
1,1,175,1,1,0
1,1,150,3,0,0
1,1,180,2,51,6
1,1,250,1,0,0
2,0,60,1,49,0
0,1,200,2,2,0
1,1,295,30,2,332
1,0,40,4,1,0
1,1,150,3,39,0
1,0,40,1,1,0
1,1,180,7,1,0
1,1,145,6,106,249
0,1,175,10,11,0
1,1,275,3,4,0
2,1,115,2,6,0
1,1,175,4,3,0
0,0,65,60,0,0
1,1,345,4,16,206
1,1,150,1,3,0
1,0,75,1,2,0
1,1,219,4,130,329
0,1,300,3,0,0
1,1,225,3,76,360
1,1,275,2,95,248
1,1,350,4,47,283
1,1,175,2,0,0
0,0,60,7,3,0
0,1,350,4,0,0
0,1,119,8,37,85
1,1,175,4,2,0
0,1,335,2,21,304
0,0,70,7,2,0
0,1,180,4,0,0
1,1,299,4,114,282
1,1,99,5,13,127
1,1,95,4,0,0
0,0,50,5,0,0
0,1,150,2,59,19
1,0,655,3,1,0
1,0,99,3,5,0
1,1,250,1,0,0
0,1,450,2,0,0
1,1,190,3,102,281
0,0,58,1,0,0
0,0,70,1,0,0
0,0,41,3,1,0
1,1,325,7,5,358
0,1,180,2,0,0
1,1,95,5,2,0
1,1,500,1,0,0
1,1,160,4,2,0
1,1,303,5,0,0
1,1,400,5,15,78
0,0,46,1,2,0
1,1,132,1,1,0
1,1,125,3,0,0
0,0,50,3,0,129
0,0,45,3,0,320
1,1,165,5,42,281
0,0,79,56,0,0
0,1,215,3,0,0
0,0,80,7,11,0
1,1,150,5,1,0
0,0,62,2,4,0
0,1,68,3,1,0
1,1,300,5,7,82
2,1,149,5,4,0
1,1,200,30,7,0
0,1,275,2,2,0
1,0,110,2,0,0
0,1,83,2,0,0
0,1,150,4,116,165
1,1,166,3,54,0
0,1,79,2,4,0
1,1,220,5,49,251
2,0,70,2,26,128
0,0,60,3,6,188
1,0,80,1,1,0
1,0,50,30,10,359
0,1,120,1,0,0
1,0,50,1,1,0
1,1,185,3,2,0
0,1,320,80,0,25
0,0,45,10,0,0
4,0,85,7,9,364
1,1,300,30,5,263
1,1,199,7,36,164
1,1,150,1,0,0
0,0,50,5,2,0
0,1,180,5,0,0
1,1,299,1,0,0
0,0,66,2,0,0
0,1,410,1,0,0
0,1,200,2,8,0
0,1,149,1,87,151
1,0,98,3,0,0
1,1,150,2,1,0
1,1,1200,6,1,290
1,1,300,180,0,0
0,0,55,14,0,0
1,1,200,1,3,0
0,1,140,2,45,345
0,1,110,3,4,0
1,0,80,10,2,0
1,0,60,1,6,0
1,1,126,4,8,0
1,0,55,1,2,0
1,1,325,3,2,0
0,1,140,90,78,126
0,0,50,2,30,0
1,0,9999,99,6,83
0,1,186,3,104,249
0,1,245,3,20,128
1,0,150,1,3,178
1,0,99,2,80,158
1,1,290,5,0,0
1,0,43,4,70,0
1,0,85,2,155,141
1,0,95,2,169,166
1,1,180,30,1,280
1,0,100,20,2,330
0,0,40,1,0,0
1,1,129,1,0,0
0,1,130,4,1,0
2,1,280,2,0,0
0,1,165,10,0,0
0,1,100,3,4,0
2,1,100,14,0,0
1,1,85,1,28,27
0,1,160,7,46,254
1,0,195,2,0,0
2,1,150,1,0,0
0,1,63,5,2,0
0,1,60,1,1,0
1,0,95,5,1,0
1,0,50,2,95,315
0,0,59,1,2,0
0,1,175,3,0,0
1,1,83,3,31,0
0,1,80,5,4,269
1,1,200,2,39,19
1,1,265,2,88,278
1,1,350,30,0,327
0,0,36,2,100,0
0,0,78,1,1,0
1,0,80,1,1,0
0,1,218,3,102,171
0,1,95,2,0,0
1,1,130,30,10,13
1,1,130,30,11,28
0,0,51,1,1,0
0,0,45,12,2,281
1,1,200,2,0,0
1,1,350,2,2,0
1,1,265,1,1,0
1,1,228,2,14,0
1,0,90,3,2,0
2,0,60,2,72,81
0,1,120,2,1,0
1,0,65,1,1,0
0,0,90,3,4,290
1,1,225,2,31,160
2,1,103,1,126,245
1,1,500,5,4,0
0,0,62,6,18,4
0,0,45,2,1,0
1,1,300,3,1,0
1,1,299,1,176,297
1,0,85,1,1,0
1,0,80,30,0,67
1,0,250,1,1,0
1,0,49,1,0,0
0,1,220,55,10,0
2,1,109,3,88,357
1,1,300,2,60,118
1,1,300,2,4,0
1,0,90,1,0,0
1,1,289,2,180,253
2,0,37,4,42,228
0,0,50,2,42,244
0,0,75,3,17,355
1,0,44,2,12,45
0,0,45,1,1,0
0,1,120,2,0,0
1,1,110,4,1,0
0,1,195,3,39,54
1,2,100,2,18,365
0,1,200,7,3,216
0,1,160,2,35,8
0,1,115,3,43,0
0,0,55,14,5,21
2,1,150,3,0,220
0,1,70,1,0,0
0,1,130,30,6,8
1,0,100,2,17,0
1,1,375,3,0,0
0,0,49,1,1,0
0,0,49,1,113,288
1,1,245,3,69,226
1,1,250,30,57,224
2,0,55,2,33,280
1,1,225,2,185,250
1,0,68,14,1,0
1,1,220,6,79,81
0,0,75,1,117,96
1,1,120,2,2,0
0,1,129,1,120,275
1,1,199,4,10,0
1,0,92,1,120,0
0,1,185,5,0,0
1,1,179,2,27,8
1,0,80,1,0,0
1,0,80,1,2,0
1,1,100,2,5,0
0,1,225,4,0,0
0,0,60,1,2,0
1,1,166,2,8,3
0,0,70,4,0,0
1,0,63,1,0,0
1,1,115,4,1,0
0,0,65,14,0,0
0,0,55,1,6,0
0,0,76,1,4,0
1,1,140,20,1,0
1,1,150,1,142,58
1,0,39,1,0,0
1,1,450,3,12,3
0,1,105,14,9,285
1,0,80,5,0,0
0,1,110,3,19,0
1,0,75,1,0,0
1,1,450,3,2,0
1,1,150,1,287,198
0,1,125,1,0,0
1,0,125,3,0,0
0,1,80,4,1,0
1,1,260,1,1,0
1,1,85,4,17,0
1,0,199,2,93,232
0,1,135,3,21,15
2,1,100,3,27,107
1,0,99,2,5,252
4,0,34,5,17,313
2,1,89,3,54,331
0,0,77,1,118,216
0,1,350,2,0,0
0,1,190,4,64,159
0,1,115,2,9,1
0,0,40,2,5,87
1,1,200,2,0,0
1,1,135,7,1,0
0,1,135,1,0,0
1,1,99,1,7,0
1,1,145,2,61,0
1,1,349,2,5,0
1,0,75,5,4,0
0,1,200,4,25,6
1,0,119,1,1,0
1,0,65,3,9,0
1,0,50,3,2,5
1,1,199,4,15,0
1,0,80,1,1,0
1,0,55,2,4,0
0,1,99,1,0,0
0,1,125,1,5,0
1,1,235,4,107,27
0,1,110,5,1,0
1,1,120,3,10,244
1,1,195,3,1,0
1,0,109,1,113,197
2,0,100,1,0,0
0,0,55,7,2,0
1,1,150,4,76,299
0,1,100,2,4,0
1,1,450,1,0,0
0,1,155,1,138,225
0,0,80,14,0,0
1,0,60,3,10,0
2,1,85,5,1,0
0,0,90,4,0,0
1,0,70,2,5,0
0,0,50,5,1,66
1,1,120,3,1,0
1,0,75,2,1,0
0,0,31,2,1,0
0,0,79,2,70,253
1,1,160,160,2,363
0,1,99,2,96,357
1,1,199,2,5,177
1,1,260,3,38,296
0,1,200,6,0,0
1,1,395,7,0,0
0,0,65,10,1,0
0,1,219,2,0,0
1,0,60,2,8,0
0,0,45,25,1,19
0,0,60,60,34,189
1,1,107,3,19,72
1,1,230,30,1,281
1,1,288,30,0,311
0,0,50,7,0,0
2,1,130,3,39,331
1,2,85,2,2,0
0,1,80,2,18,0
1,0,84,2,3,0
0,0,63,3,15,0
0,0,45,2,1,0
0,1,125,2,172,155
0,0,160,2,5,0
0,0,63,2,22,48
1,0,125,1,85,335
0,0,45,3,1,0
0,0,115,3,3,0
1,1,269,3,145,110
0,0,55,5,5,0
1,1,150,7,0,0
2,1,100,4,11,15
1,1,190,1,0,0
0,1,150,7,0,0
2,0,75,1,0,0
0,0,59,28,2,365
0,1,173,2,179,228
0,0,60,7,0,0
0,0,115,5,24,179
1,1,89,1,1,0
0,0,70,1,5,0
2,0,89,2,53,39
2,0,60,1,150,179
0,1,130,5,0,0
1,1,400,1,2,0
0,1,90,4,8,0
1,1,200,2,8,188
0,0,65,1,2,0
2,0,43,30,3,310
0,0,55,3,6,0
2,1,120,2,0,0
1,0,110,1,123,264
1,1,95,7,0,0
1,1,145,1,3,0
1,1,550,1,141,302
2,0,59,1,156,208
2,1,239,3,8,274
2,0,49,1,14,89
1,0,95,3,0,0
1,1,160,2,0,0
0,1,90,2,214,82
0,0,80,2,9,0
0,1,125,3,42,226
0,0,65,1,1,0
1,1,77,4,63,0
0,1,220,2,26,8
0,1,150,40,4,0
0,0,200,5,8,0
1,1,200,1,5,0
0,1,160,4,0,0
0,0,90,3,28,0
0,1,230,1,1,0
0,0,55,1,1,0
1,0,160,2,1,0
0,0,46,3,11,0
1,0,224,3,0,3
1,1,300,2,13,0
1,0,100,3,1,0
0,0,95,12,1,0
1,0,100,1,0,0
0,0,47,1,0,0
1,0,139,1,0,0
2,0,68,3,6,0
0,1,110,1,0,0
1,1,112,4,13,0
1,0,85,3,32,0
0,1,450,1,0,0
1,1,390,7,0,0
1,0,55,1,0,0
0,0,55,4,47,304
1,0,85,1,7,188
0,1,160,3,52,291
1,1,155,4,6,0
0,1,70,2,1,0
0,1,185,1,1,0
0,1,90,7,0,0
1,0,200,7,1,0
1,0,58,10,0,0
1,0,70,4,2,0
1,0,50,1,2,0
2,1,85,4,2,0
1,1,200,6,0,0
1,1,250,7,0,0
2,0,45,2,5,0
0,1,109,4,4,0
3,0,48,2,112,316
1,1,150,7,4,0
0,1,350,2,9,130
1,1,100,2,1,0
1,1,177,1,136,258
1,1,108,1,111,0
0,0,28,10,1,0
1,0,101,1,0,0
2,0,35,1,2,0
2,1,105,7,2,0
0,0,95,1,2,0
1,0,62,2,24,97
1,0,65,2,0,0
1,1,150,3,2,0
0,1,113,7,38,355
0,1,300,2,24,0
0,1,65,2,4,0
0,0,55,2,5,0
0,1,150,8,0,0
0,1,120,3,152,180
1,1,160,1,2,0
1,0,135,2,10,339
0,1,175,1,11,37
0,1,300,2,51,297
0,0,80,6,2,0
2,0,40,1,0,0
1,1,170,30,1,332
1,1,85,90,1,0
4,1,85,1,0,0
0,1,84,10,2,0
0,1,399,3,129,237
1,1,450,1,0,0
1,1,140,3,103,270
0,1,210,2,115,247
1,1,135,4,0,0
0,1,200,3,3,0
1,1,200,2,148,0
0,0,47,2,2,0
0,1,50,7,1,0
0,0,95,2,9,342
1,1,280,2,6,0
0,0,50,3,5,0
1,0,200,1,16,365
1,0,197,3,18,0
0,1,120,5,4,0
0,1,60,14,0,0
1,0,100,1,0,0
1,0,84,1,0,0
2,1,200,3,0,0
1,1,150,5,1,0
0,2,35,1,104,352
1,1,195,3,19,34
1,0,37,1,0,0
1,1,200,1,0,0
1,0,125,3,141,226
1,0,100,30,2,248
1,1,70,1,0,0
0,1,125,6,155,155
0,1,123,30,10,246
0,1,95,7,5,59
1,1,199,4,1,0
0,1,125,20,0,0
0,0,45,1,1,0
1,1,189,3,4,0
0,0,50,2,1,0
1,0,120,5,0,8
0,1,250,1,11,365
0,1,95,3,74,251
1,0,140,1,5,0
2,1,99,1,0,0
1,1,120,30,33,247
0,0,35,1,2,0
1,1,195,3,30,0
0,0,35,1,1,0
1,1,250,1,1,0
0,0,70,7,2,0
0,1,140,7,0,0
0,1,159,28,4,0
1,1,149,7,13,0
1,1,180,1,130,328
1,1,110,1,198,250
2,1,100,7,2,0
0,0,50,7,11,0
1,1,425,2,23,54
1,1,195,1,0,0
1,1,260,4,15,34
1,1,499,2,4,0
1,0,75,14,0,0
1,1,250,3,3,16
0,1,350,2,5,0
1,1,275,5,3,0
0,1,325,5,0,0
1,1,300,1,268,261
0,0,75,3,5,365
0,0,100,1,0,0
1,0,45,1,0,0
0,1,146,28,208,200
1,0,89,1,19,0
1,1,75,2,19,0
1,1,175,4,0,0
1,0,75,1,1,0
1,1,102,5,20,18
1,1,250,4,0,0
1,1,190,2,118,237
1,0,120,1,0,0
0,0,70,5,1,0
0,0,63,3,6,60
0,1,100,6,1,0
1,0,130,2,49,76
1,1,140,5,0,0
2,1,65,7,0,0
0,1,90,2,75,364
0,0,46,2,18,0
0,1,72,20,0,0
0,1,115,2,142,89
1,0,90,1,103,239
0,0,65,2,0,0
0,1,250,31,8,0
1,1,1000,4,10,326
0,1,159,1,3,0
1,0,99,3,24,333
2,1,100,1,2,0
1,1,250,4,13,35
0,1,120,3,5,0
1,0,80,3,1,0
1,1,300,1,0,0
1,0,45,3,1,0
1,1,200,1,0,0
1,0,65,1,2,0
1,0,70,1,0,0
0,1,60,13,0,0
1,1,240,1,0,0
1,0,50,1,2,0
1,0,100,2,1,0
1,1,200,4,1,0
0,1,180,1,0,0
2,0,65,7,8,320
0,1,130,4,52,321
1,1,125,21,0,0
0,1,250,30,13,319
0,1,70,20,0,0
0,1,100,3,6,0
1,1,90,5,3,0
2,0,90,1,54,180
0,0,31,3,2,0
1,0,45,1,2,0
1,1,188,3,0,0
0,0,39,7,6,278
0,0,39,7,13,346
0,0,85,5,1,0
0,0,40,5,2,0
0,0,75,1,0,0
0,1,200,2,1,0
1,0,88,2,0,0
0,1,130,2,67,252
3,0,40,2,157,324
1,0,65,3,0,0
1,1,129,3,6,0
1,1,500,1,0,0
2,1,125,8,0,0
0,1,100,1,7,0
0,1,100,3,1,0
0,0,24,18,1,0
0,1,160,2,70,342
0,1,125,5,13,0
0,1,205,7,2,0
1,1,750,3,97,47
0,0,75,14,18,189
1,1,150,30,1,282
1,1,195,4,48,280
0,0,477,2,1,358
1,1,275,30,1,332
1,1,699,7,0,37
1,1,180,1,0,0
0,0,60,1,1,0
0,1,128,28,12,256
1,1,140,5,7,0
0,1,98,1,5,0
1,1,1200,1,0,0
0,1,800,3,33,178
1,0,130,3,134,23
0,1,325,3,74,179
1,0,200,1,0,0
1,1,125,2,0,0
1,0,62,2,0,0
1,1,144,2,30,0
0,0,90,1,0,0
1,0,45,1,2,0
0,0,75,1,1,0
0,0,85,4,24,0
1,1,50,3,1,0
0,0,50,10,1,0
1,1,86,20,0,0
0,0,60,1,17,205
1,1,372,3,23,17
0,0,75,2,1,0
0,0,60,1,1,0
1,0,29,28,42,16
0,0,85,1,90,345
0,0,60,15,14,251
1,0,124,1,0,0
1,0,90,2,17,0
1,1,300,5,0,0
1,1,70,10,3,0
4,1,87,1,132,211
1,0,100,1,1,0
0,0,55,4,8,173
1,1,139,3,26,0
1,0,200,1,0,0
1,0,300,1,0,0
0,0,50,4,2,0
1,1,260,30,1,336
1,0,120,2,3,0
1,1,110,4,0,0
0,0,50,3,0,0
1,0,90,2,187,86
2,1,225,4,0,0
1,1,83,30,3,331
0,0,30,3,3,0
1,2,65,1,1,0
0,0,60,5,0,0
1,1,140,1,1,0
1,1,799,3,16,365
0,1,330,5,0,0
1,1,1100,1,0,0
0,0,75,1,0,0
1,1,140,12,0,0
1,0,100,2,42,0
2,1,100,3,1,0
1,0,110,5,0,0
1,0,75,1,1,0
1,1,150,4,0,0
0,0,90,3,0,0
1,0,70,9,2,0
1,1,85,1,0,0
1,1,150,2,0,0
1,0,145,2,51,139
1,0,77,1,0,0
1,0,200,1,0,0
0,0,60,3,4,0
0,0,70,5,1,0
1,1,365,6,100,257
1,1,180,1,3,0
1,1,230,1,0,0
1,0,79,7,0,0
0,0,49,7,2,0
1,0,165,7,4,0
0,1,140,2,131,273
1,0,72,1,3,201
1,1,369,30,0,331
1,0,63,1,0,0
1,1,165,30,2,321
1,1,112,4,1,0
0,1,119,3,3,0
1,1,160,30,1,365
0,1,170,2,6,0
0,1,995,5,1,89
0,1,185,2,24,365
1,1,500,4,0,0
1,0,48,30,100,183
1,0,150,3,0,0
1,1,199,2,137,317
0,0,80,5,2,0
1,0,60,3,0,0
1,1,125,6,5,1
1,0,62,28,2,0
1,2,60,1,0,0
1,1,600,3,0,0
0,0,75,1,2,0
0,1,80,2,4,0
1,1,195,2,1,0
1,0,68,3,1,0
1,0,45,14,0,0
0,1,90,2,5,0
1,1,200,2,1,0
2,0,30,1,0,0
1,0,80,1,28,364
1,1,125,7,4,1
0,0,70,1,0,0
0,0,50,1,0,0
0,0,110,1,6,0
1,1,199,4,1,0
0,0,40,1,1,0
0,0,65,5,10,3
1,0,85,1,1,0
0,1,160,3,0,0
1,0,69,4,107,0
0,0,42,1,216,61
1,1,120,2,4,0
0,1,150,1,0,0
1,1,130,2,18,0
0,0,85,2,0,0
0,0,100,1,0,0
1,1,210,3,59,248
0,0,28,14,3,0
0,0,60,2,1,0
0,0,60,1,113,332
0,1,140,2,5,0
0,0,69,2,0,0
0,0,73,3,77,354
0,0,67,3,62,338
2,1,123,1,0,0
1,1,110,5,70,310
1,1,250,2,0,0
1,1,80,5,7,0
1,1,325,3,17,0
1,1,300,1,0,0
0,0,44,47,7,0
1,1,197,1,0,0
1,0,60,21,0,0
0,1,165,3,36,274
0,0,30,1,3,0
0,0,120,2,9,365
0,1,119,5,13,3
0,0,39,10,2,0
1,1,250,1,0,0
0,1,130,4,0,0
1,0,100,3,21,0
1,0,28,1,1,0
1,1,149,31,24,149
2,0,39,18,0,310
1,1,225,4,7,0
0,0,100,14,0,88
0,0,45,1,9,0
1,1,120,4,1,0
1,1,99,2,5,0
0,1,206,1,35,365
1,1,120,5,52,323
1,1,275,2,0,0
1,1,290,2,55,0
1,1,300,3,0,0
1,1,75,15,0,0
0,1,80,3,2,0
0,1,150,30,16,365
1,0,80,2,23,362
0,1,70,6,4,0
0,1,130,4,1,0
0,0,50,1,0,0
0,1,125,9,10,0
0,1,150,2,1,0
0,1,290,6,1,95
1,1,210,1,0,0
1,1,150,2,1,0
0,1,129,7,5,0
4,0,64,3,36,1
1,0,100,3,1,0
1,0,60,2,1,0
0,1,120,2,9,0
1,1,180,30,6,255
1,0,45,15,0,0
1,0,90,3,40,0
1,1,200,2,20,0
1,1,239,30,0,351
1,1,139,5,0,0
1,1,279,30,0,352
0,0,95,1,0,0
1,0,70,1,3,0
1,1,90,5,4,0
0,0,70,2,63,322
0,1,94,4,6,0
1,1,250,2,3,0
1,1,850,4,0,0
0,0,85,2,37,334
2,1,65,2,92,12
1,1,369,30,1,345
1,0,200,3,0,0
2,1,88,3,117,192
1,1,65,1,3,0
1,1,239,30,0,363
0,0,79,1,13,0
1,1,239,30,0,363
1,1,239,30,0,363
1,1,239,30,1,363
0,1,120,3,71,200
1,0,175,3,55,26
1,1,200,5,2,0
1,1,103,3,1,0
1,1,80,5,0,0
0,0,80,1,1,0
0,0,60,3,1,0
0,0,50,1,0,0
0,0,50,2,4,0
1,1,145,21,0,0
0,1,425,14,4,205
1,1,275,10,0,0
1,0,150,4,0,0
1,1,229,1,0,306
1,1,200,1,1,335
1,1,300,3,1,0
0,0,47,4,2,0
1,1,200,3,0,0
1,1,200,2,2,0
1,1,180,7,5,0
1,1,270,4,8,0
1,0,30,8,1,0
0,1,170,2,17,270
1,0,55,7,1,0
0,1,185,2,0,0
0,0,30,8,1,0
1,1,139,30,1,306
1,0,101,3,4,345
1,0,85,4,0,0
0,0,50,2,32,362
0,0,38,7,3,0
0,1,219,30,3,36
1,0,325,1,0,360
0,1,100,20,0,51
0,0,69,3,0,0
1,1,275,2,6,0
1,1,249,30,1,273
1,1,249,30,0,272
